id,lat,lon,number,score,rural,tax,azmua,pchpsa,fedmuap,mpc1,mpc2,mpc3,travel2,travel3
Ahwatukee Foothills Village,33.33248,-112.06476,42,8,URBAN,A,(See PC HPSAs),Geographic::(Ahwatukee),No,Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Ajo,32.16075,-112.95443,102,48,FRONTIER,B,(See PC HPSAs),Geographic HN::(Ajo),54.40::MUA::(Ajo),Ajo,Sells,Buckeye,more than 80 minutes,more than 80 minutes
Alhambra Village,33.51678,-112.10833,35,54,URBAN,A,(See PC HPSAs),Geographic::(Glendale)::P Low Inc.::(Phoenix Central),60.90::MUP-Low Inc::(I-17 Corridor),Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Anthem,33.85295,-112.11474,51,8,URBAN,A,No,No,No,Anthem,New River,Desert Hills,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Apache Junction,33.42232,-111.54219,70,38,RURAL,No,(See PC HPSAs),Geographic::(Apache Junction),52.60::MUA::(Apache Junction),Apache Junction,Gold Canyon,Higley,Less than or equal to 20 minutes,21 to 30 minutes
Avondale,33.44317,-112.31833,64,30,URBAN,A,(See PC HPSAs),Geographic::(Avondale/Tolleson)::P Low Inc.::(Phoenix Central),59.60::MUP-Low Inc::(Avondale/Tolleson),Avondale,Goodyear,Litchfield Park,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Benson,32.08595,-110.22875,121,36,RURAL,A,(See PC HPSAs),Geographic::(Benson),58.93::MUA::(Sierra Vista/Benson),Benson,Dragoon,Tombstone,21 to 30 minutes,21 to 30 minutes
Bisbee,31.50765,-110.08899,124,30,RURAL,No,(See PC HPSAs),Geographic::(Bisbee),60.70::MUP-Low Inc::(Bisbee),Sierra Vista Southeast,Sierra Vista,Fort Huachuca,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Black Canyon City,34.22387,-112.15301,22,36,RURAL,No,(See PC HPSAs),Geographic::(Cordes Junction)::Geographic::(Yavapai-South),56.80::MUP-Low Inc::(Yavapai),Black Canyon City,New River,Anthem,Less than or equal to 20 minutes,21 to 30 minutes
Buckeye,33.14314,-112.76861,53,30,URBAN,A,(See PC HPSAs),Geographic::(Buckeye)::Geographic::(Gila Bend)::Geographic::(Wickenburg),57.10::MUA::(Gila Bend)::61.10::MUA::(Wickenburg),Buckeye,Goodyear,Avondale,21 to 30 minutes,21 to 30 minutes
Bullhead City,34.95835,-114.5166,5,40,RURAL,No,(See PC HPSAs),Geographic::(Fort Mohave),61.80::MUP-Low Inc::(Bullhead City)::58.20::MUP-Low Inc::(Fort Mohave),Bullhead City,Fort Mohave,Mohave Valley,Less than or equal to 20 minutes,21 to 30 minutes
Camelback East Village,33.50978,-112.00226,34,28,URBAN,A,(See PC HPSAs),P Low Inc.::(Phoenix Central)::P Low Inc.::(Phoenix-South Central),59.30::MUP-Low Inc::(South Central Phoenix),Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Casa Grande,32.88861,-111.78304,97,34,RURAL,No,No,No,50.50::MUP-Low Inc::(Central-West Pinal),Casa Grande,Arizona City,Sacaton,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Casas Adobes,32.34406,-111.0253,105,18,URBAN,No,No,No,No,Casas Adobes,Cortaro,Tucson,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Catalina Foothills,32.38139,-110.82661,99,14,URBAN,No,No,No,No,Catalina Foothills,Oro Valley,Cortaro,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Central City Village,33.43625,-112.04756,39,64,URBAN,A,(See PC HPSAs),P Low Inc.::(Phoenix-South Central),47.30::MUA::(Rio Salado)::59.30::MUP-Low Inc::(South Central Phoenix),Phoenix,Glendale,Guadalupe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Chandler Central,33.30413,-111.83311,77,20,URBAN,A,No,No,61.20::MUA::(Chandler),Chandler,Gilbert,Higley,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Chandler North,33.32375,-111.91563,78,10,URBAN,A,(See PC HPSAs),Geographic::(Ahwatukee),No,Chandler,Gilbert,Higley,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Chandler South,33.23306,-111.82428,79,4,URBAN,A,No,No,No,Chandler,Gilbert,Higley,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Chino Valley,35.08703,-112.75366,18,30,RURAL,No,(See PC HPSAs),Geographic HN::(Ash Fork)::Geographic::(Chino Valley),56.80::MUP-Low Inc::(Yavapai),Chino Valley,Paulden,Prescott Valley,Less than or equal to 20 minutes,21 to 30 minutes
