ST3	emm43
ST5	emm104
ST5	emm83
ST8	emm80
ST11	emm53
ST12	emm91
ST15	emm3
ST22	emm178
ST23	emm92
ST28	emm1
ST31	emm44
ST36	emm12
ST37	emm6
ST38	emm4
ST39	emm4
ST46	emm22
ST49	emm75
ST52	emm28
ST53	emm60
ST55	emm2
ST62	emm87
ST63	emm77
ST75	emm89
ST75	emm212
ST82	emm92
ST89	emm94
ST99	emm5
ST100	emm55
ST101	emm89
ST106	emm164
ST133	emm77
ST137	emm104
ST150	emm75
ST168	emm120
ST172	emm59
ST176	emm58
ST182	emm101
ST184	emm90
ST184	emm92
ST198	emm109
ST204	emm9
ST206	emm173
ST211	emm59
ST213	emm176
ST221	emm179
ST223	emm127
ST247	emm68
ST253	emm78
ST289	emm4
ST312	emm92
ST320	emm82
ST334	emm82
ST340	emm53
ST348	emm57
ST367	emm190
ST369	emm191
ST371	emm49
ST382	emm6
ST384	emm136
ST399	emm77
ST403	emm11
ST412	emm163
ST414	emm83
ST415	emm1
ST416	emm53
ST418	emm90
ST419	emm22
ST420	emm80
ST430	emm198
ST433	emm49
ST458	emm28
ST463	emm200
ST465	emm137
ST536	emm122
ST537	emm30
ST538	emm80
ST539	emm44
ST544	emm124
ST546	emm69
ST554	emm138
ST587	emm147
ST689	emm210
ST721	emm128
ST726	emm129
ST775	emm130
ST794	emm214
ST804	emm215
ST809	emm217
ST818	emm142
ST837	emm81
ST853	emm83
ST854	emm218
ST864	emm59
ST895	emm102
ST931	emm1
ST946	emm81
ST1110	emm58
ST1207	emm166
ST1325	emm167
ST1355	emm131
ST1389	emm168
ST1424	emm132
ST1692	emm133
ST1731	emm169
ST1815	emm75
ST1967	emm98
ST1969	emm171
ST2002	emm83
ST2037	emm172
ST2105	emm134
ST2147	emm177
ST2460	emm180
ST2461	emm181
ST2861	emm182
ST2904	emm183
ST2911	emm184
ST2917	emm185
ST2940	emm186
ST3211	emm187
ST3400	emm188
ST3481	emm189
ST3720	emm135
ST3757	emm192
ST3765	emm193
ST3826	emm195
ST3850	emm56
ST3857	emm196
ST4050	emm237
ST4119	emm197
ST4365	emm199
ST4695	emm201
ST4722	emm11
ST5144	emm89
ST5240	emm204
ST5282	emm18
ST5594	emm206
ST6030	emm207
