id	date	r1	r2	TG92300
CONTROL-NTC-095	2021-02-08	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/CONTROL-NTC-095_S23_R1_001.fastq.gz	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/CONTROL-NTC-095_S23_R2_001.fastq.gz	92.38%
GAS-AZ00096336-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096336-095_S217_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096336-095_S217_R2_001.fastq.gz	89.05%
GAS-AZ00096337-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096337-095_S216_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096337-095_S216_R2_001.fastq.gz	88.59%
GAS-AZ00096338-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096338-095_S215_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096338-095_S215_R2_001.fastq.gz	88.58%
GAS-AZ00096342-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096342-095_S219_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096342-095_S219_R2_001.fastq.gz	91.19%
GAS-AZ00096389-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096389-095_S209_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096389-095_S209_R2_001.fastq.gz	98.02%
GAS-AZ00096394-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096394-095_S210_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096394-095_S210_R2_001.fastq.gz	98.70%
GAS-AZ00096395-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096395-095_S211_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096395-095_S211_R2_001.fastq.gz	90.05%
GAS-AZ00096396-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096396-095_S214_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096396-095_S214_R2_001.fastq.gz	90.97%
GAS-AZ00096397-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096397-095_S213_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096397-095_S213_R2_001.fastq.gz	91.22%
GAS-AZ00096398-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096398-095_S212_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096398-095_S212_R2_001.fastq.gz	90.05%
GAS-AZ00096408-095	2020-12-30	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096408-095_S208_R1_001.fastq.gz	/TGenNextGen/TGN-NextSeq0239/PMI-TGN_Bowers_PH-GAS/GAS-AZ00096408-095_S208_R2_001.fastq.gz	90.04%
