id	date	r1	r2	TG92300
CAMCL-TG134004-081	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-MISC/CAMCL-TG134004-081_S16_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-MISC/CAMCL-TG134004-081_S16_L001_R2_001.fastq.gz	87.88%
CAMCL-TG134008-081	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-MISC/CAMCL-TG134008-081_S17_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-MISC/CAMCL-TG134008-081_S17_L001_R2_001.fastq.gz	85.29%
GAS-TG133876-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133876-095_S36_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133876-095_S36_L001_R2_001.fastq.gz	85.54%
GAS-TG133880-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133880-095_S37_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133880-095_S37_L001_R2_001.fastq.gz	86.45%
GAS-TG133884-095	2019-08-26	/scratch/TGenNextGen/TGN-MiSeq0775/PMI-TGN_Bowers_PH-GAS/GAS-TG133884-095_S1_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0775/PMI-TGN_Bowers_PH-GAS/GAS-TG133884-095_S1_L001_R2_001.fastq.gz	90.46%
GAS-TG133888-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133888-095_S34_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133888-095_S34_L001_R2_001.fastq.gz	87.80%
GAS-TG133892-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133892-095_S38_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133892-095_S38_L001_R2_001.fastq.gz	96.47%
GAS-TG133940-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133940-095_S39_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133940-095_S39_L001_R2_001.fastq.gz	83.72%
GAS-TG133944-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133944-095_S40_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133944-095_S40_L001_R2_001.fastq.gz	84.04%
GAS-TG133948-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133948-095_S41_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133948-095_S41_L001_R2_001.fastq.gz	83.72%
GAS-TG133952-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133952-095_S42_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133952-095_S42_L001_R2_001.fastq.gz	81.20%
GAS-TG133956-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133956-095_S43_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133956-095_S43_L001_R2_001.fastq.gz	82.22%
GAS-TG133960-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133960-095_S44_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133960-095_S44_L001_R2_001.fastq.gz	79.05%
GAS-TG133964-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133964-095_S35_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133964-095_S35_L001_R2_001.fastq.gz	88.08%
GAS-TG133968-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133968-095_S45_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133968-095_S45_L001_R2_001.fastq.gz	78.79%
GAS-TG133972-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133972-095_S46_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133972-095_S46_L001_R2_001.fastq.gz	86.43%
GAS-TG133976-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133976-095_S47_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133976-095_S47_L001_R2_001.fastq.gz	82.80%
GAS-TG133980-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133980-095_S48_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133980-095_S48_L001_R2_001.fastq.gz	87.89%
GAS-TG133984-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133984-095_S49_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133984-095_S49_L001_R2_001.fastq.gz	82.70%
GAS-TG133988-095	2019-08-02	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133988-095_S50_L001_R1_001.fastq.gz	/scratch/TGenNextGen/TGN-MiSeq0764/PMI-TGN_Bowers_PH-GAS/GAS-TG133988-095_S50_L001_R2_001.fastq.gz	81.65%
