id,type,capacity,certification,mpc,address,zip,phone,fax,lat,lon
Adult Day Health Care,Assisted Living::Adult Day Health Care,60,T,Phoenix,303 East Eva Street,85020,(602)870-6374,(602)331-5750,33.568989,-112.069321
Arbor Rose Adult Day Club,Assisted Living::Adult Day Health Care,90,T,Mesa,6063 East Arbor Avenue,85206,(480)654-8200,(480)981-9379,33.413594,-111.699871
Benevilla Lucy Anne's Place,Assisted Living::Adult Day Health Care,35,,Surprise,16752 North Greasewood Street,85374,(623)584-4999,(623)546-1589,33.636609,-112.329307
Benevilla Mary's Place Adult Day Program,Assisted Living::Adult Day Health Care,40,,Sun City,14601 North Del Webb Blvd,85351,(623)815-1031,(623)815-3690,33.616703,-112.291012
Benevilla Peoria Adult Day Program,Assisted Living::Adult Day Health Care,45,,Peoria,8133 West Cactus Road,85381,(623)979-7126,(623)979-5249,33.595414,-112.234193
Benevilla Sun City Adult Day Program,Assisted Living::Adult Day Health Care,45,,Sun City,15800 Del Webb Boulevard,85351,(623)977-8274,(623)977-3448,33.628524,-112.287278
Casa Community Services,Assisted Living::Adult Day Health Care,30,,Green Valley,780 South Park Centre Avenue,85614,(520)625-2273,(520)625-1598,31.858816,-110.977091
Daybreak Adult Day Health Care,Assisted Living::Adult Day Health Care,51,,Yuma,321 South 15Th Avenue,85364,(928)783-8316,(928)783-8317,32.721237,-114.637981
Glendale Adult Day Health Care Center,Assisted Living::Adult Day Health Care,99,,Glendale,6010 West Northern Avenue,85311,(602)285-1800,(602)285-1838,33.553177,-112.189172
Oakwood Creative Care Inc,Assisted Living::Adult Day Health Care,50,,Mesa,247 North Mac Donald Street,85201,(480)464-1061,(480)464-1166,33.42034,-111.833785
Sunflower Adult Day Care Center,Assisted Living::Adult Day Health Care,45,,Phoenix,2814 West Bell Road Suite 1415,85053,(602)843-8711,(602)843-8964,33.640038,-112.120257
Suntree Center-Adult Day Health Care,Assisted Living::Adult Day Health Care,40,,Phoenix,4120 North 20Th Street,85016,(602)441-4900,(602)441-5724,33.495129,-112.039109
Tempe Adult Day Health Care Center,Assisted Living::Adult Day Health Care,49,,Tempe,2234 East Maryland Drive,85281,(480)285-1800,(602)285-1838,33.420401,-111.889528
The Susan J. Rheem Adult Day Center,Assisted Living::Adult Day Health Care,65,,Prescott Valley,3407 North Windsong Drive,86314,(928)775-3563,(928)775-3591,34.591284,-112.326469
A Divine Love Home Care,Assisted Living::Adult Foster Care,4,T,Phoenix,3609 West Rue De Lamour Avenue,85029,(602)595-9583,(602)773-6882,33.609904,-112.136748
Adela Lupea,Assisted Living::Adult Foster Care,4,T,Glendale,7321 North 82Nd Drive,85303,(623)842-5765,(623)842-5765,33.538095,-112.236011
Adult Care By Dan Olney,Assisted Living::Adult Foster Care,4,T,Glendale,4547 West Hearn Road,85306,(602)938-9473,(602)938-9473,33.614195,-112.156895
Adult Foster Care Home,Assisted Living::Adult Foster Care,4,,Phoenix,3135 West Alta Vista Road,85041,(602)283-1062,(602)283-1062,33.388498,-112.126398
Adult Foster Care Home (Ed's),Assisted Living::Adult Foster Care,4,,Phoenix,4130 West Ironwood Drive,85051,(623)842-3215,(623)842-3215,33.575301,-112.147324
Angelica Paul,Assisted Living::Adult Foster Care,4,T,Phoenix,15820 North 20Th Street,85022,(602)493-4966,(602)493-4966,33.630508,-112.039619
Anne Ashworth,Assisted Living::Adult Foster Care,4,T,Mesa,835 West Peralta Avenue,85210,(480)820-0620,(480)718-5624,33.357334,-111.852666
Araceli Cornidez Adult Foster Care,Assisted Living::Adult Foster Care,4,,Tucson,5972 East 28Th Street,85711,(520)790-5816,(520)207-1739,32.200349,-110.863545
Carmen Hostiuc,Assisted Living::Adult Foster Care,4,,Glendale,4543 West Echo Lane,85302,(623)930-0474,(623)930-5306,33.559375,-112.157606
Caroline Baylon,Assisted Living::Adult Foster Care,4,T,Peoria,15607 North 91St Drive,85382,(623)583-7815,(623)933-1061,33.626196,-112.25416
Daisy Miller,Assisted Living::Adult Foster Care,4,,Glendale,8116 North 59Th Drive,85302,(623)915-9309,(623)915-9309,33.554571,-112.186883
Daniela Boha,Assisted Living::Adult Foster Care,3,T,Glendale,4825 West Charleston Avenue,85308,(602)439-2124,(602)439-2122,33.649203,-112.163631
Doneitta Nicki Werner,Assisted Living::Adult Foster Care,4,,Scottsdale,8416 East Holly,85257,(480)970-6401,(480)970-6401,33.471045,-111.900006
Ednna Leyva Afc Sponsor,Assisted Living::Adult Foster Care,4,T,Tucson,410 East 34Th Street,85713,(520)903-1455,(520)903-1455,32.194398,-110.963435
Eva Fugatt,Assisted Living::Adult Foster Care,4,,Phoenix,3145 West Butler,85051,(602)995-5313,(602)995-5313,33.560192,-112.127363
Gierba Adult Foster Care,Assisted Living::Adult Foster Care,4,,Scottsdale,5210 East Everett Drive,85254,(602)923-3434,(602)923-3434,33.619741,-111.968832
Gutang's Adult Foster Care Home,Assisted Living::Adult Foster Care,4,,Tucson,3233 South Sun Splash Drive,85713,(520)881-6553,(520)908-0844,32.183252,-111.084828
Heaven On Earth,Assisted Living::Adult Foster Care,4,T,Waddell,18640 West Onyx Avenue,85355,(623)848-9834,(623)691-0911,33.575215,-112.460058
Helena Bartoszek,Assisted Living::Adult Foster Care,4,T,Phoenix,3031 East Topeka Drive,85050,(602)765-9576,(623)444-6818,33.660791,-112.017333
Irina Hreniuc,Assisted Living::Adult Foster Care,4,T,Glendale,6401 West Surrey Lane,85304,(623)486-3235,(623)486-3235,33.604762,-112.196158
Jadwiga Czerski,Assisted Living::Adult Foster Care,4,,Phoenix,2427 East Marmora Street,85032,(602)992-4410,(602)992-4410,33.599592,-112.029791
Janet Coleman Adult Foster Care,Assisted Living::Adult Foster Care,4,,Tucson,8430 East Malvern Place,85710,(520)546-5728,(520)546-5728,32.21453,-110.812741
Jocelyn Turner Adult Foster Care Home,Assisted Living::Adult Foster Care,4,,Tucson,9249 East Bent Creek Way,85747,(520)663-0163,(520)663-0163,32.10836,-110.794509
Lily Of The Valley,Assisted Living::Adult Foster Care,4,,Glendale,5438 West Villa Theresa,85308,(602)439-2177,(602)439-1186,33.653954,-112.176209
Livia Barbarosie,Assisted Living::Adult Foster Care,4,,Glendale,5121 West Fallen Leaf Lane,85310,(623)780-3301,(623)780-3302,33.711353,-112.170385
Malgorzata Podpora-Adult Foster Home,Assisted Living::Adult Foster Care,4,T,Scottsdale,7502 East Bajada Road,85266,(480)747-1552,(480)513-6482,33.732463,-111.919369
Mallory's Adult Foster Care,Assisted Living::Adult Foster Care,4,T,Glendale,5009 North 61St Avenue,85301,(623)204-8924,(  )  -,33.510047,-112.190488
Maria Apalategui Afc,Assisted Living::Adult Foster Care,4,,Tucson,3272 West Avenida Luna,85746,(520)578-9740,(520)578-0851,32.123268,-111.036463
Marinela Alaman,Assisted Living::Adult Foster Care,4,T,Phoenix,2227 West Charleston,85023,(602)993-9021,(602)795-4485,33.649194,-112.107409
Mary Herron Foster Care Home,Assisted Living::Adult Foster Care,4,,Tucson,8032 East Presidio Road,85750,(520)298-5946,(520)639-8256,32.263823,-110.82092
Mel's Adult Foster Care,Assisted Living::Adult Foster Care,4,,Gilbert,22831 South Recker Road,85298,(480)279-1071,(480)279-1076,33.241181,-111.703025
Mike Sullivan,Assisted Living::Adult Foster Care,4,T,Phoenix,2138 West Coolbrook Ave,85023,(602)866-7064,(602)866-7993,33.643692,-112.107064
Myra Drzewiecka Adult Foster Care Home,Assisted Living::Adult Foster Care,4,,Glendale,6089 West Villa Theresa,85308,(602)789-8666,(602)548-6334,33.652747,-112.189934
Our Home Adult Care,Assisted Living::Adult Foster Care,4,,Glendale,17625 North 48Th Drive,85308,(602)863-4885,(602)863-4885,33.646332,-112.163737
Patsy Arandia Afc Home,Assisted Living::Adult Foster Care,4,,Tucson,955 North Larry Place,85710,(520)885-8732,(520)885-8732,32.232733,-110.801421
Paulina Oniga Adult Foster Care,Assisted Living::Adult Foster Care,4,T,Glendale,4835 West Paradise Drive,85304,(602)375-8626,(602)375-8626,33.594015,-112.162807
Princess Adult Foster Care Home,Assisted Living::Adult Foster Care,4,,Tucson,9542 East Myra Drive,85730,(520)546-4871,(520)296-0805,32.183349,-110.788684
Ramona Luna Adult Foster Care,Assisted Living::Adult Foster Care,3,,Tucson,5532 South Morris Circle,85706,(520)889-7189,(520)889-3948,32.151778,-110.958497
Ruby Graham,Assisted Living::Adult Foster Care,2,T,Phoenix,3815 East Becker,85028,(602)494-0041,(602)354-7511,33.583399,-111.999825
Sally Johnson,Assisted Living::Adult Foster Care,4,,Phoenix,4124 West Augusta,85051,(602)565-7811,(623)937-3314,33.551123,-112.14805
Sandra Baker Adult Foster Care,Assisted Living::Adult Foster Care,4,,Glendale,6811 West Villa Theresa Drive,85308,(602)843-3663,(602)863-0554,33.651506,-112.206209
Sipos Ana Adult Foster Care,Assisted Living::Adult Foster Care,4,T,Phoenix,4035 East Saint Johns Road,85032,(602)404-0147,(602)652-2278,33.647044,-111.994055
Sophie Trojanek,Assisted Living::Adult Foster Care,4,T,Glendale,4428 West Cholla,85304,(602)938-8522,(602)354-3741,33.589258,-112.154392
Stana Olari,Assisted Living::Adult Foster Care,4,T,Phoenix,25851 North Central Avenue,85085,(623)581-8800,(623)258-4202,33.720374,-112.07422
Sweetwater Haven Adult Foster Care,Assisted Living::Adult Foster Care,4,,Glendale,6535 West Sweetwater Avenue,85304,(623)334-2866,(623)334-3046,33.603271,-112.199753
Violeta's Home Care,Assisted Living::Adult Foster Care,4,T,Glendale,16257 North 43Rd Lane,85306,(602)843-2798,(602)843-2798,33.633745,-112.152466
Acacia Health Center,Assisted Living::Directed Center,88,,Phoenix,4555 East Mayo Boulevard,85050,(480)384-5600,(480)458-2161,33.667708,-111.982534
Alta Vista,Assisted Living::Directed Center,59,,Prescott,918 Canterbury Lane,86301,(928)772-6000,(928)445-8571,34.558701,-112.471422
Amethyst Arbor Assisted Living,Assisted Living::Directed Center,130,T,Peoria,9257 West Union Hills Drive,85382,(623)974-2255,(623)972-2288,33.652497,-112.258341
Amethyst Gardens,Assisted Living::Directed Center,259,T,Peoria,18170 North 91St Avenue,85382,(623)974-5848,(623)972-7763,33.648645,-112.255157
Arizona Desert Falls,Assisted Living::Directed Center,30,T,Phoenix,2802 East Juniper Avenue,85032,(480)307-6161,(480)307-6162,33.639376,-112.021465
Atria Campana Del Rio,Assisted Living::Directed Center,100,,Tucson,1550 And 1580 East River Road,85718,(520)299-1941,(520)529-2572,32.290609,-110.948704
Aurora Place,Assisted Living::Directed Center,48,,Apache Junction,675 West Broadway Avenue,85120,(480)288-1791,(480)671-9660,33.407688,-111.553622
Avista Senior Living North Mountain,Assisted Living::Directed Center,149,,Phoenix,350 East Eva Street,85020,(602)997-6224,(602)944-4199,33.56927,-112.068445
Bannon Springs Assisted Living,Assisted Living::Directed Center,24,,Vernon,County Road 3398 Lot 20,85940,(928)532-6649,(877)570-9277,34.2575,-109.6922
