id,coordinate,mpc1,mpc2,mpc3
Ahwatukee Foothills Village,"[33.33248,-112.06476]",Phoenix,Glendale,Guadalupe
Ajo,"[32.16075,-112.95443]",Ajo,Sells,Buckeye
Alhambra Village,"[33.51678,-112.10833]",Phoenix,Glendale,Guadalupe
Anthem,"[33.85295,-112.11474]",Anthem,New River,Desert Hills
Apache Junction,"[33.42232,-111.54219]",Apache Junction,Gold Canyon,Higley
Avondale,"[33.44317,-112.31833]",Avondale,Goodyear,Litchfield Park
Benson,"[32.08595,-110.22875]",Benson,Dragoon,Tombstone
Bisbee,"[31.50765,-110.08899]",Sierra Vista Southeast,Sierra Vista,Fort Huachuca
Black Canyon City,"[34.22387,-112.15301]",Black Canyon City,New River,Anthem
Buckeye,"[33.14314,-112.76861]",Buckeye,Goodyear,Avondale
Bullhead City,"[34.95835,-114.51660]",Bullhead City,Fort Mohave,Mohave Valley
Camelback East Village,"[33.50978,-112.00226]",Phoenix,Glendale,Guadalupe
Casa Grande,"[32.88861,-111.78304]",Casa Grande,Arizona City,Sacaton
Casas Adobes,"[32.34406,-111.02530]",Casas Adobes,Cortaro,Tucson
Catalina Foothills,"[32.38139,-110.82661]",Catalina Foothills,Oro Valley,Cortaro
Central City Village,"[33.43625,-112.04756]",Phoenix,Glendale,Guadalupe
Chandler Central,"[33.30413,-111.83311]",Chandler,Gilbert,Higley
Chandler North,"[33.32375,-111.91563]",Chandler,Gilbert,Higley
Chandler South,"[33.23306,-111.82428]",Chandler,Gilbert,Higley
Chino Valley,"[35.08703,-112.75366]",Chino Valley,Paulden,Prescott Valley
Colorado City,"[36.37582,-113.28978]",Colorado City,Littlefield,Page
Colorado River Indian Tribe,"[33.89106,-114.37410]",Bluewater,Saint Johns,Sahuarita
Coolidge,"[32.93151,-111.56601]",Coolidge,Florence,Sacaton
Cottonwood,"[34.67532,-111.84076]",Cottonwood,Clarkdale,Cornville
Deer Valley Village,"[33.68851,-112.11728]",Phoenix,Glendale,Guadalupe
Desert View Village,"[33.71865,-112.00544]",Phoenix,Glendale,Guadalupe
Douglas & Pirtleville,"[31.67307,-109.54282]",Douglas,McNeal,Bisbee
Drexel Heights,"[32.14109,-111.04157]",Drexel Heights,Sahuarita,Cortaro
El Mirage & Youngtown,"[33.59081,-112.32451]",El Mirage,Surprise,Youngtown
Eloy,"[32.75869,-111.32901]",Eloy,Arizona City,Casa Grande
Encanto Village,"[33.47759,-112.06681]",Phoenix,Glendale,Guadalupe
Estrella Village & Tolleson,"[33.42263,-112.20837]",Phoenix,Glendale,Guadalupe
Flagstaff,"[35.22846,-111.50862]",Flagstaff,Parks,Munds Park
Florence,"[33.15762,-111.16953]",Florence,Coolidge,San Tan Valley
Flowing Wells,"[32.29470,-111.01209]",Flowing Wells,Oro Valley,Tucson
Fort McDowell Yavapai Nation,"[33.64106,-111.66393]",Fort McDowell,Fountain Hills,Rio Verde
Fortuna Foothills,"[32.75163,-113.94849]",Fortuna Foothills,Surprise,Wellton
Fountain Hills,"[33.69069,-111.72025]",Fountain Hills,Fort Huachuca,Rio Verde
Gila River Indian Community,"[33.17800,-111.91247]",Sacaton,Casa Grande,Sun Lakes
Gilbert Central,"[33.32119,-111.74479]",Gilbert,Chandler,Mesa
Gilbert North,"[33.35014,-111.76499]",Gilbert,Chandler,Mesa
Gilbert South,"[33.25570,-111.73772]",Gilbert,Chandler,Mesa
Glendale Central,"[33.53798,-112.19462]",Glendale,Peoria,Sun City
Glendale North,"[33.62556,-112.18630]",Glendale,Peoria,Sun City
Glendale West,"[33.54407,-112.35396]",Glendale,Peoria,Sun City
Globe,"[33.41101,-110.83951]",Globe,Claypool,Superior
Gold Canyon,"[33.36065,-111.28276]",Gold Canyon,Apache Junction,Queen Valley
Golden Valley,"[35.32425,-114.35385]",Golden Valley,Kingman,Bullhead City
Goodyear & Litchfield Park,"[33.25879,-112.42200]",Goodyear,Avondale,Litchfield Park
Grand Canyon Village,"[35.68674,-112.58676]",Williams,Parks,Flagstaff
Green Valley,"[31.75137,-111.26573]",Green Valley,Sahuarita,Tubac
Hopi Tribe,"[35.96528,-110.64795]",Tuba City,Polacca,Kayenta
Hualapai Tribe,"[35.79304,-113.61934]",Peach Springs,Golden Valley,Chloride
Kingman,"[35.20281,-114.04369]",Kingman,Golden Valley,Chloride
Lake Havasu City,"[34.49153,-114.23101]",Lake Havasu City,Topock,Parker
Laveen Village,"[33.37252,-112.17587]",Phoenix,Glendale,Guadalupe
Marana,"[32.39564,-111.17205]",Marana,Red Rock,Cortaro
Maricopa,"[32.79716,-111.97191]",Maricopa,Sun Lakes,Casa Grande
Maryvale Village,"[33.48736,-112.21492]",Phoenix,Glendale,Guadalupe
Mesa Central,"[33.42166,-111.78836]",Mesa,Tempe,Gilbert
Mesa East,"[33.41550,-111.71905]",Mesa,Tempe,Gilbert
Mesa Gateway,"[33.34653,-111.63487]",Mesa,Tempe,Gilbert
Mesa North,"[33.45515,-111.70151]",Mesa,Tempe,Gilbert
