id,amr,antibiotic,pTested,nTested,pSusceptible,nSusceptible
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Amikacin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Amikacin,100%,123,100%,123
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Amoxicillin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Amoxicillin,100%,123,0%,0
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Ampicillin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Ampicillin,100%,123,0%,0
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Cefazolin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Cefazolin,100%,123,0%,0
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Cefepime,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Cefepime,100%,123,97%,119
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Ceftriaxone,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Ceftriaxone,100%,123,71%,87
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Ciprofloxacin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Ciprofloxacin,100%,123,98%,121
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Gentamicin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Gentamicin,100%,123,99%,122
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Imipenem (Cilastatin),Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Imipenem (Cilastatin),100%,123,97%,119
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Levofloxacin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Levofloxacin,100%,123,99%,122
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Piperacillin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Piperacillin,100%,123,64%,79
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Tobramycin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Tobramycin,100%,123,100%,123
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2017::11,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,123,91%,112
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Amikacin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Amikacin,100%,111,100%,111
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Amoxicillin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Amoxicillin,100%,111,100%,111
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Ampicillin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Ampicillin,100%,111,100%,111
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Cefazolin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Cefazolin,100%,111,100%,111
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Cefepime,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Cefepime,100%,111,86%,95
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Ceftriaxone,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Ceftriaxone,100%,111,74%,82
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Ciprofloxacin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Ciprofloxacin,100%,111,88%,98
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Gentamicin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Gentamicin,100%,111,96%,107
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Levofloxacin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Levofloxacin,100%,111,90%,100
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Meropenem,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Meropenem,100%,111,99%,110
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Piperacillin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Piperacillin,100%,111,76%,84
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Tobramycin,Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Tobramycin,100%,111,94%,104
Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Enterobacter cloacae::_::2018::5,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,111,83%,92
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Amikacin,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Amikacin,100%,187,99%,185
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Amoxicillin,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Amoxicillin,100%,187,62%,116
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Ampicillin,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Ampicillin,100%,187,39%,73
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Cefazolin,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Cefazolin,100%,187,70%,131
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Cefepime,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Cefepime,100%,187,87%,163
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Ceftriaxone,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Ceftriaxone,100%,187,81%,151
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Ciprofloxacin,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Ciprofloxacin,100%,187,72%,135
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Gentamicin,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Gentamicin,100%,187,86%,161
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Imipenem (Cilastatin),Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Imipenem (Cilastatin),100%,187,100%,187
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Levofloxacin,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Levofloxacin,100%,187,72%,135
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Piperacillin,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Piperacillin,100%,187,90%,168
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Tobramycin,Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Tobramycin,100%,187,82%,153
Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11::Trimethoprim-Sulfamethoxazole (Tmp-Smx),Banner - University Medical Center Phoenix::Escherichia coli::_::2017::11,Trimethoprim-Sulfamethoxazole (Tmp-Smx),100%,187,62%,116
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Amikacin,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Amikacin,100%,205,100%,205
Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5::Amoxicillin,Banner - University Medical Center Phoenix::Escherichia coli::_::2018::5,Amoxicillin,100%,205,72%,148
