Sample	Num contigs 	Num contigs >500	N50	Longest contig	Total bases in contigs	GC content	# Ns	# gaps	# degen
ALL::NC_002737	1	1	0	1852433	1852433	38.51%	0	0	0
ALL::TG92300	29	25	204241	425041	1804600	38.37%	0	0	0
M11::GAS-TG132996-095	1415	249	133736	299443	2415075	41.58%	0	0	0
M12::TG92248	34	31	178335	217723	1800204	38.37%	0	0	0
M1::NC_002737	1	1	0	1852433	1852433	38.51%	0	0	0
M1::TG92300	29	25	204241	425041	1804600	38.37%	0	0	0
M28::GAS-TG132920-095	50	32	221962	316189	1937632	38.24%	0	0	0
M28::TG92252	23	23	243486	445551	1824174	38.19%	0	0	0
M3::GAS-TG134000-095	491	459	5823	27440	1716903	38.85%	0	0	0
M43::TG128492	79	42	111565	239792	1767963	38.41%	0	0	0
M49::GAS-TG134028-095	66	58	49058	163026	1739549	38.36%	0	0	0
M49::GAS-TG134304-095	262	244	13060	52641	1760118	38.60%	1	0	0
M4::TG92344	32	28	183894	352512	1854685	38.32%	0	0	0
M59::B	25	24	148180	411632	1709593	38.36%	0	0	0
M75::GAS-TG134524-095	337	304	10170	50068	1735932	38.73%	3	0	0
M75::GAS-TG134540-095	40	25	163147	276564	1770095	38.53%	0	0	0
M77::GAS-TG132840-095	38	31	220557	267833	1957698	38.26%	0	0	0
M81::TG92224	50	46	102631	208396	1824678	38.36%	0	0	0
M82::GAS-TG132972-095	37	28	131068	229190	1909443	38.23%	0	0	0
M82::TG92272	52	31	122499	240335	1796409	38.39%	0	0	0
M87::GAS-TG102863-xx-CL-USA-xxxx-081-JB	77	56	89501	239857	1899264	38.33%	0	0	0
M89::TG92140	26	25	161204	487296	1738612	38.39%	0	0	0
M90::TG92308	15	14	275436	628924	1738753	38.39%	0	0	0
M92::GAS-TG110879-xx-CL-USA-xxxx-081-JB	31	28	178309	367554	1803699	38.19%	0	0	0
U0::GAS-TG102875-xx-CL-USA-xxxx-081-JB	25	15	243885	687652	1826745	38.31%	0	0	0
U1::GAS-TG110887-xx-CL-USA-xxxx-081-JB	18	12	240797	472721	1707702	38.29%	0	0	0
